话题链接	话题内容	楼主ID	楼主昵称	楼主性别	发布日期	发布时间	转发量	评论量	点赞量	评论者ID	评论者昵称	评论者性别	评论日期	评论时间	评论内容
 	 	 	 	 	 	 	 	 	 	6111071729	江南水乡200302	m	2020/2/15	12:53:44	关健时侯还是科技人才，国家栋梁戏子不过是茶余饭后，打发时间罢了，酒囊饭袋而已。向所有奋战一线的医务人员致敬
 	 	 	 	 	 	 	 	 	 	5279716705	白周咸蔡	f	2020/2/15	12:41:15	钟老辛苦您了！
 	 	 	 	 	 	 	 	 	 	1236848261	夕本无言	m	2020/2/15	11:51:24	国士无双！同时问候没被病毒战胜的王广发、善写论文的高福！
 	 	 	 	 	 	 	 	 	 	5825627046	grass96	f	2020/2/15	11:46:59	真希望当下的00后甚至10后的理想不再是当明星，而是科学家 医生警察等等，因为他们才是我大中国的最闪亮耀眼的星！
 	 	 	 	 	 	 	 	 	 	1892792847	莫名sam	m	2020/2/15	10:35:04	病毒量得多大，1：512
 	 	 	 	 	 	 	 	 	 	6051646991	像雾像雨又像风line	f	2020/2/15	10:28:09	太好了！钟老辛苦了！
 	 	 	 	 	 	 	 	 	 	2088775955	大连潜力股不悔爱无悔	f	2020/2/15	10:19:00	谢谢钟老先生！
 	 	 	 	 	 	 	 	 	 	2657645291	PLutoMind	m	2020/2/15	10:14:55	重要的是 能大规模生产吗？
 	 	 	 	 	 	 	 	 	 	5565650361	秋天天的水	m	2020/2/15	10:11:39	疫情控制，加油加油加油
 	 	 	 	 	 	 	 	 	 	1892454685	楼楼的宫殿	f	2020/2/15	9:32:58	我们湖北人民谢谢您
 	 	 	 	 	 	 	 	 	 	1773687214	成成正正	m	2020/2/15	9:19:24	艰难时段，少发表一些论文，多拿出一批成果，钟院士
 	 	 	 	 	 	 	 	 	 	6120545780	肿瘤外科赵医生	m	2020/2/15	9:17:20	这个要是量产后是不是可以作为开工后要进入地铁，车站，超市等人员密集场所前的一种初筛方式。
 	 	 	 	 	 	 	 	 	 	6128159733	余生晴深	f	2020/2/15	8:31:08	钟老辛苦，这样的血浆检测要比咽拭子检测应该更快更准确吧！加油！
 	 	 	 	 	 	 	 	 	 	6018679898	迪子衿	f	2020/2/15	8:28:55	啊啊啊啊啊啊这样能减轻很大的压力啊 疑似病例监测不用隔离14天了！！！爸妈去外地打工也不用在那再隔离14天了！！！钟老国士无双
 	 	 	 	 	 	 	 	 	 	6350930674	是可爱的仙仙仙女鸭	f	2020/2/15	8:27:44	致敬钟老院士???? ????????
 	 	 	 	 	 	 	 	 	 	1982014542	人间邝露	f	2020/2/15	8:27:17	太厉害了！
 	 	 	 	 	 	 	 	 	 	5534177797	小言班	f	2020/2/15	7:59:45	这才是中国的明星～钟老辛苦了
 	 	 	 	 	 	 	 	 	 	2650072550	larry宝贝520	f	2020/2/15	7:58:57	一般84岁的老人都已经在家颐养天年，享受天伦之乐，而钟老却为了国家，为了广大人民群众劳苦奔波，真的发自内心的很感动和心疼，希望国家以后能把精力放在培养年轻的科教人员上面，引导下一代培养正确的价值观，在这种大难面前，多一些年轻人的身影！
 	 	 	 	 	 	 	 	 	 	1051733175	加油努力2020一定橙	f	2020/2/15	7:43:26	钟大大真伟大
 	 	 	 	 	 	 	 	 	 	2404155763	大连liuyisheng	m	2020/2/15	7:42:24	中国的国宝，钟院士
 	 	 	 	 	 	 	 	 	 	6115256944	80后的小阿甘	f	2020/2/15	7:40:00	好消息！辛苦了！[加油]
 	 	 	 	 	 	 	 	 	 	5947020913	不忘初心990331	f	2020/2/15	7:36:56	太好了
 	 	 	 	 	 	 	 	 	 	2814940532	馋猫集结号	m	2020/2/15	7:36:00	你说你的，我干我的！埋头苦干就是科学的精神，为科学家们点赞！
 	 	 	 	 	 	 	 	 	 	2708830564	心随愿微博	m	2020/2/15	7:35:48	厉害了我的国
 	 	 	 	 	 	 	 	 	 	1821533453	中二病杨小白	f	2020/2/15	7:35:19	技术分享给日本吧，感觉日本要完
 	 	 	 	 	 	 	 	 	 	2431897735	欺我_	f	2020/2/15	7:34:29	爹
 	 	 	 	 	 	 	 	 	 	6993685184	Syuan媛媛	f	2020/2/15	7:33:33	您辛苦了
 	 	 	 	 	 	 	 	 	 	5947020913	不忘初心990331	f	2020/2/15	7:33:18	看到了希望[加油]
 	 	 	 	 	 	 	 	 	 	5947020913	不忘初心990331	f	2020/2/15	7:32:36	太棒了
 	 	 	 	 	 	 	 	 	 	3533621905	爬岩观火	f	2020/2/15	7:32:26	大大加快排查速度，为钟老点赞
 	 	 	 	 	 	 	 	 	 	6443716173	_高能橙汁儿	f	2020/2/15	7:32:11	辛苦了
 	 	 	 	 	 	 	 	 	 	5848657803	大河sky	m	2020/2/15	7:31:55	太厉害了，钟老辛苦了[加油][加油][加油]
 	 	 	 	 	 	 	 	 	 	2710550912	bj大婷子yx	f	2020/2/15	7:31:41	厉害了！
 	 	 	 	 	 	 	 	 	 	5947020913	不忘初心990331	f	2020/2/15	7:31:23	钟老牛
 	 	 	 	 	 	 	 	 	 	2388174710	这么难改名字什么	f	2020/2/15	7:31:14	牛
 	 	 	 	 	 	 	 	 	 	3144820560	书乐园-	f	2020/2/15	7:31:06	中国加油！
 	 	 	 	 	 	 	 	 	 	5947020913	不忘初心990331	f	2020/2/15	7:31:05	钟老辛苦了
 	 	 	 	 	 	 	 	 	 	2604738421	哦呼CC	f	2020/2/15	7:31:02	
 	 	 	 	 	 	 	 	 	 	3021637073	GoYingYoo	f	2020/2/15	7:30:58	太好了
 	 	 	 	 	 	 	 	 	 	3507979677	迷人又可爱的词汇	f	2020/2/15	14:29:29	钟院士您一定要好好照顾自己的身体啊
 	 	 	 	 	 	 	 	 	 	5599864046	岳达I	m	2020/2/15	10:42:58	钟老您辛苦了，
 	 	 	 	 	 	 	 	 	 	2727073762	过气大侠	f	2020/2/15	9:39:31	真的辛苦了 每次看到钟老的脸都会想哭 太辛苦了 脸上的是忧人民的神情 真是全国人民的榜样
 	 	 	 	 	 	 	 	 	 	1867775820	汉唐三三	f	2020/2/15	8:02:30	转发微博
 	 	 	 	 	 	 	 	 	 	7283433518	一起去滑雪10805	f	2020/2/15	7:45:47	钟院士和各研究人员辛苦了，你们太厉害了；这样就不怕漏检了，能最大程度控制疫情的传播了。希望结束的那一天早点到来??????
 	 	 	 	 	 	 	 	 	 	6344160569	皓祐8399	m	2020/2/15	14:47:01	深深忧虑钟南山百年之后若再遇上这样的事情该怎么办？
 	 	 	 	 	 	 	 	 	 	5885141600	_是芝士呀	f	2020/2/15	14:46:55	钟老辛苦了
 	 	 	 	 	 	 	 	 	 	1265580667	极乐鸟-曼巴精神	m	2020/2/15	14:46:42	这就是国宝级的超级英雄啊啊啊
 	 	 	 	 	 	 	 	 	 	5520826679	-MagicalSoul-	m	2020/2/15	14:36:54	国家贴上钟老的名字是给你们吃定心丸  还是谢谢所有为了检测盒研制的工作人员吧！
